日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2011-01-04,000063,15.83,15.67,15.92,15.37,220050,595078912.0,3.49,-0.44,-0.07,0.97
2011-01-05,000063,15.63,15.26,15.67,15.19,271889,725936448.0,3.06,-2.62,-0.41,1.2
2011-01-06,000063,15.26,15.3,15.57,15.22,111475,298432672.0,2.29,0.26,0.04,0.49
2011-01-07,000063,15.32,15.43,15.6,15.07,140735,376674816.0,3.46,0.85,0.13,0.62
2011-01-10,000063,15.43,15.53,15.94,15.35,273384,741755584.0,3.82,0.65,0.1,1.2
2011-01-11,000063,15.5,15.67,16.21,15.41,267997,738509568.0,5.15,0.9,0.14,1.18
2011-01-12,000063,15.74,15.55,15.78,15.27,111796,300785376.0,3.25,-0.77,-0.12,0.49
2011-01-13,000063,15.61,15.37,15.66,15.29,74753,200753808.0,2.38,-1.16,-0.18,0.33
2011-01-14,000063,15.38,15.03,15.46,14.91,118771,313326560.0,3.58,-2.21,-0.34,0.52
2011-01-17,000063,14.96,14.06,14.96,13.94,180696,455865120.0,6.79,-6.45,-0.97,0.79
2011-01-18,000063,14.07,13.98,14.27,13.8,104740,259364544.0,3.34,-0.57,-0.08,0.46
2011-01-19,000063,14.01,14.15,14.21,13.8,126329,313359104.0,2.93,1.22,0.17,0.56
2011-01-20,000063,14.21,13.42,14.25,13.38,138900,339936096.0,6.15,-5.16,-0.73,0.61
2011-01-21,000063,13.44,13.23,13.57,13.07,162279,385968000.0,3.73,-1.42,-0.19,0.71
2011-01-24,000063,13.32,13.73,14.06,13.3,185445,453106304.0,5.74,3.78,0.5,0.82
2011-01-25,000063,13.8,13.4,13.83,13.38,120760,294028640.0,3.28,-2.4,-0.33,0.53
2011-01-26,000063,13.59,13.73,13.9,13.44,67396,163817280.0,3.43,2.46,0.33,0.3
2011-01-27,000063,13.64,14.32,14.45,13.45,180757,450625568.0,7.28,4.3,0.59,0.79
2011-01-28,000063,14.58,14.54,14.8,14.45,171130,439801728.0,2.44,1.54,0.22,0.75
2011-01-31,000063,14.53,15.1,15.32,14.21,168077,442447840.0,7.63,3.85,0.56,0.74
2011-02-01,000063,15.24,14.86,15.24,14.76,82220,214607152.0,3.18,-1.59,-0.24,0.36
2011-02-09,000063,14.81,15.6,15.85,14.76,269505,727969216.0,7.34,4.98,0.74,1.18
2011-02-10,000063,15.57,15.88,16.08,15.51,268642,738177920.0,3.65,1.79,0.28,1.18
2011-02-11,000063,15.92,16.13,16.42,15.92,258637,725072768.0,3.15,1.57,0.25,1.14
2011-02-14,000063,16.13,16.77,16.92,16.13,319410,918364288.0,4.9,3.97,0.64,1.4
2011-02-15,000063,16.82,16.47,16.97,16.45,312817,896133184.0,3.1,-1.79,-0.3,1.37
2011-02-16,000063,16.64,16.94,16.97,16.48,276399,797153792.0,2.98,2.85,0.47,1.21
2011-02-17,000063,17.41,16.92,18.3,16.8,371521,1101642240.0,8.85,-0.12,-0.02,1.63
2011-02-18,000063,16.93,16.62,17.14,16.21,216870,618894400.0,5.5,-1.77,-0.3,0.95
2011-02-21,000063,16.46,18.6,18.6,16.31,552482,1661361024.0,13.78,11.91,1.98,2.43
2011-02-22,000063,18.94,18.52,19.39,18.24,690832,2196253952.0,6.18,-0.43,-0.08,3.04
2011-02-23,000063,18.31,18.99,19.21,17.98,343311,1081956992.0,6.64,2.54,0.47,1.51
2011-02-24,000063,18.73,18.29,18.73,17.89,227045,700462592.0,4.42,-3.69,-0.7,1.0
2011-02-25,000063,18.1,18.11,18.61,17.9,183461,567866432.0,3.88,-0.98,-0.18,0.81
2011-02-28,000063,18.17,19.21,19.42,18.17,325490,1041042368.0,6.9,6.07,1.1,1.43
2011-03-01,000063,19.19,18.77,19.27,18.37,241638,765536576.0,4.69,-2.29,-0.44,1.06
2011-03-02,000063,18.64,18.48,18.64,17.95,232138,717491904.0,3.68,-1.55,-0.29,1.02
2011-03-03,000063,18.38,18.17,18.92,17.79,200254,622785920.0,6.11,-1.68,-0.31,0.88
2011-03-04,000063,18.15,18.39,18.51,17.75,207128,637672064.0,4.18,1.21,0.22,0.91
2011-03-07,000063,18.59,18.41,18.76,17.92,290160,902119232.0,4.57,0.11,0.02,1.28
2011-03-08,000063,18.38,18.24,18.45,17.86,254403,781299200.0,3.2,-0.92,-0.17,1.12
2011-03-09,000063,18.3,19.01,19.14,18.07,326617,1033309824.0,5.87,4.22,0.77,1.44
2011-03-10,000063,18.9,18.86,19.35,18.69,208698,667444160.0,3.47,-0.79,-0.15,0.92
2011-03-11,000063,18.73,18.79,19.09,18.3,214950,681589440.0,4.19,-0.37,-0.07,0.94
2011-03-14,000063,18.87,20.01,20.01,18.62,281346,915449152.0,7.4,6.49,1.22,1.24
2011-03-15,000063,19.72,19.29,19.85,18.87,298891,966845696.0,4.9,-3.6,-0.72,1.31
2011-03-16,000063,19.32,20.24,20.33,18.87,289021,946717760.0,7.57,4.92,0.95,1.27
2011-03-17,000063,19.79,19.07,20.51,19.07,267474,885742912.0,7.11,-5.78,-1.17,1.18
2011-03-18,000063,19.39,18.73,19.54,18.66,280618,893127232.0,4.61,-1.78,-0.34,1.23
2011-03-21,000063,18.73,18.11,18.99,17.88,196437,605745408.0,5.93,-3.31,-0.62,0.86
2011-03-22,000063,18.18,18.38,18.53,17.89,161920,499319104.0,3.53,1.49,0.27,0.71
2011-03-23,000063,18.4,18.53,18.73,18.35,122072,381983456.0,2.07,0.82,0.15,0.54
2011-03-24,000063,18.66,18.67,18.93,18.31,105719,333441152.0,3.35,0.76,0.14,0.46
2011-03-25,000063,18.71,18.48,18.73,18.24,171284,533204864.0,2.62,-1.02,-0.19,0.75
2011-03-28,000063,18.48,17.82,18.48,17.82,195878,600041856.0,3.57,-3.57,-0.66,0.86
2011-03-29,000063,17.82,17.3,17.98,17.03,239660,714723968.0,5.33,-2.92,-0.52,1.05
2011-03-30,000063,17.48,17.35,17.52,16.96,153334,452559904.0,3.24,0.29,0.05,0.67
2011-03-31,000063,17.47,17.62,17.83,17.25,117480,353012480.0,3.34,1.56,0.27,0.52
2011-04-01,000063,17.63,17.61,17.77,17.28,90369,270005408.0,2.78,-0.06,-0.01,0.4
2011-04-06,000063,17.06,17.1,17.26,16.37,323682,932655680.0,5.05,-2.9,-0.51,1.42
2011-04-07,000063,17.08,16.98,17.08,16.64,145675,421679584.0,2.57,-0.7,-0.12,0.64
2011-04-08,000063,16.97,17.31,17.39,16.91,181417,533395104.0,2.83,1.94,0.33,0.8
2011-04-11,000063,17.37,16.71,17.57,16.6,192617,559560960.0,5.6,-3.47,-0.6,0.85
2011-04-12,000063,16.71,16.52,16.96,16.43,167835,480219744.0,3.17,-1.14,-0.19,0.74
2011-04-13,000063,16.55,17.24,17.26,16.49,169898,491335680.0,4.66,4.36,0.72,0.75
2011-04-14,000063,17.31,16.92,17.34,16.82,99318,288528800.0,3.02,-1.86,-0.32,0.44
2011-04-15,000063,16.84,16.85,17.07,16.7,97651,282045888.0,2.19,-0.41,-0.07,0.43
2011-04-18,000063,16.79,16.91,17.06,16.77,75259,217790528.0,1.72,0.36,0.06,0.33
2011-04-19,000063,16.77,16.5,16.77,16.42,129095,367106528.0,2.07,-2.42,-0.41,0.57
2011-04-20,000063,16.52,17.03,17.17,16.52,151079,439311552.0,3.94,3.21,0.53,0.66
2011-04-21,000063,17.03,17.17,17.64,17.03,162211,480718272.0,3.58,0.82,0.14,0.71
2011-04-22,000063,17.21,16.78,17.44,16.68,127735,371504928.0,4.43,-2.27,-0.39,0.56
2011-04-25,000063,16.82,16.71,17.17,16.49,121041,349053600.0,4.05,-0.42,-0.07,0.53
2011-04-26,000063,16.76,16.56,16.92,16.42,90556,258152304.0,2.99,-0.9,-0.15,0.4
2011-04-27,000063,16.64,16.61,16.89,16.44,90364,258780912.0,2.72,0.3,0.05,0.4
2011-04-28,000063,16.63,15.67,16.75,15.53,161597,446314208.0,7.34,-5.66,-0.94,0.71
2011-04-29,000063,15.54,15.94,16.3,15.19,142788,392933696.0,7.08,1.72,0.27,0.63
2011-05-03,000063,15.92,15.94,16.16,15.78,72030,198943584.0,2.38,0.0,0.0,0.32
2011-05-04,000063,15.94,15.02,15.94,14.96,225394,599844224.0,6.15,-5.77,-0.92,0.99
2011-05-05,000063,15.02,14.99,15.38,14.96,121589,320839008.0,2.8,-0.2,-0.03,0.53
2011-05-06,000063,14.96,15.41,15.47,14.91,112945,301031168.0,3.74,2.8,0.42,0.5
2011-05-09,000063,15.43,15.62,15.78,15.43,64844,175841632.0,2.27,1.36,0.21,0.29
2011-05-10,000063,15.64,15.88,15.98,15.64,69498,190662448.0,2.18,1.66,0.26,0.31
2011-05-11,000063,15.94,15.82,15.95,15.48,61817,168668352.0,2.96,-0.38,-0.06,0.27
2011-05-12,000063,15.69,15.24,15.69,15.17,89852,241028320.0,3.29,-3.67,-0.58,0.39
2011-05-13,000063,15.24,15.12,15.45,14.84,118523,310924960.0,4.0,-0.79,-0.12,0.52
2011-05-16,000063,15.12,15.1,15.45,15.02,75199,199956208.0,2.84,-0.13,-0.02,0.33
2011-05-18,000063,15.19,15.43,15.45,15.1,60984,162947264.0,2.32,2.19,0.33,0.27
2011-05-19,000063,15.44,15.73,15.81,15.44,102094,277332544.0,2.4,1.94,0.3,0.45
2011-05-20,000063,15.74,15.53,15.9,15.36,81485,220540176.0,3.43,-1.27,-0.2,0.36
2011-05-23,000063,15.53,14.89,15.6,14.76,133451,348558336.0,5.41,-4.12,-0.64,0.59
2011-05-24,000063,14.84,15.05,15.06,14.42,78536,203265440.0,4.3,1.07,0.16,0.35
2011-05-25,000063,14.86,14.5,15.03,14.48,74082,190971408.0,3.65,-3.65,-0.55,0.33
2011-05-26,000063,14.7,14.49,14.84,14.42,56752,145222736.0,2.9,-0.07,-0.01,0.25
2011-05-27,000063,14.57,14.55,14.83,14.46,66432,170370432.0,2.55,0.41,0.06,0.29
2011-05-30,000063,14.62,14.66,14.81,14.42,68342,176008896.0,2.68,0.76,0.11,0.3
2011-05-31,000063,14.71,14.83,14.9,14.48,76413,196787296.0,2.86,1.16,0.17,0.34
2011-06-01,000063,14.83,14.92,14.99,14.67,67736,176411760.0,2.16,0.61,0.09,0.3
2011-06-02,000063,14.76,14.44,14.82,14.32,93996,240732512.0,3.35,-3.22,-0.48,0.41
2011-06-03,000063,14.42,15.03,15.19,14.37,111808,292637824.0,5.68,4.09,0.59,0.49
2011-06-07,000063,15.05,15.39,15.6,15.05,104727,280893600.0,3.66,2.4,0.36,0.46
2011-06-08,000063,15.39,15.19,15.52,14.91,94208,248488064.0,3.96,-1.3,-0.2,0.41
2011-06-09,000063,15.07,15.03,15.48,14.95,76179,202187776.0,3.49,-1.05,-0.16,0.33
2011-06-10,000063,15.0,14.98,15.29,14.77,80916,211206944.0,3.46,-0.33,-0.05,0.36
2011-06-13,000063,14.86,14.63,14.86,14.41,109267,279721152.0,3.0,-2.34,-0.35,0.48
2011-06-14,000063,14.63,15.32,15.42,14.53,138126,366910272.0,6.08,4.72,0.69,0.61
2011-06-15,000063,15.26,15.3,15.57,15.2,91909,246715760.0,2.42,-0.13,-0.02,0.4
2011-06-16,000063,15.21,14.96,15.23,14.82,57963,152179664.0,2.68,-2.22,-0.34,0.25
2011-06-17,000063,14.84,14.96,15.17,14.75,44745,117451784.0,2.81,0.0,0.0,0.2
2011-06-20,000063,14.96,14.42,15.1,14.42,85811,220521488.0,4.55,-3.61,-0.54,0.38
2011-06-21,000063,14.53,14.76,14.85,14.44,65909,169179184.0,2.84,2.36,0.34,0.29
2011-06-22,000063,14.78,14.58,14.83,14.48,58133,149637744.0,2.37,-1.22,-0.18,0.26
2011-06-23,000063,14.58,15.19,15.42,14.49,90072,235273792.0,6.38,4.18,0.61,0.4
2011-06-24,000063,15.17,15.49,15.98,15.06,275349,745628736.0,6.06,1.97,0.3,1.21
2011-06-27,000063,15.46,15.59,15.99,15.39,205393,560420736.0,3.87,0.65,0.1,0.9
2011-06-28,000063,16.02,15.89,16.23,15.82,169045,468591136.0,2.63,1.92,0.3,0.74
2011-06-29,000063,15.95,16.03,16.35,15.87,154628,430282016.0,3.02,0.88,0.14,0.68
2011-06-30,000063,15.97,16.42,16.44,15.87,176565,493956736.0,3.56,2.43,0.39,0.78
2011-07-01,000063,16.47,16.43,16.57,16.3,100990,285954592.0,1.64,0.06,0.01,0.44
2011-07-04,000063,16.56,16.69,16.92,16.56,142083,409105280.0,2.19,1.58,0.26,0.62
2011-07-05,000063,16.69,16.3,16.85,16.2,146785,414176672.0,3.89,-2.34,-0.39,0.65
2011-07-06,000063,16.33,16.55,16.6,16.07,182641,513371136.0,3.25,1.53,0.25,0.8
2011-07-07,000063,16.58,16.44,16.66,16.25,185052,433482464.0,2.48,-0.66,-0.11,0.68
2011-07-08,000063,16.57,16.57,16.68,16.41,103284,242822352.0,1.64,0.79,0.13,0.38
2011-07-11,000063,16.51,16.39,16.52,16.28,128780,299272032.0,1.45,-1.09,-0.18,0.47
2011-07-12,000063,16.31,15.98,16.31,15.95,170922,391462752.0,2.2,-2.5,-0.41,0.63
2011-07-13,000063,15.99,16.36,16.45,15.95,135685,312849280.0,3.13,2.38,0.38,0.5
2011-07-14,000063,16.46,16.19,16.52,16.03,143146,330534496.0,3.0,-1.04,-0.17,0.52
2011-07-15,000063,16.2,16.68,16.7,16.19,218035,510189248.0,3.15,3.03,0.49,0.8
2011-07-18,000063,16.88,16.88,17.04,16.7,187344,447800224.0,2.04,1.2,0.2,0.69
2011-07-19,000063,16.77,16.55,16.88,16.51,107470,253229840.0,2.19,-1.95,-0.33,0.39
2011-07-20,000063,16.58,16.19,16.68,16.06,189306,438019424.0,3.75,-2.18,-0.36,0.69
2011-07-21,000063,15.95,15.66,16.16,15.62,268965,607131712.0,3.34,-3.27,-0.53,0.96
2011-07-22,000063,15.76,15.51,15.84,15.48,173087,387383072.0,2.3,-0.96,-0.15,0.62
2011-07-25,000063,15.51,14.95,15.63,14.85,227435,496171328.0,5.03,-3.61,-0.56,0.82
2011-07-26,000063,14.95,15.02,15.2,14.83,133763,290126336.0,2.47,0.47,0.07,0.48
2011-07-27,000063,14.99,15.26,15.49,14.81,287157,626626368.0,4.53,1.6,0.24,1.03
2011-07-28,000063,14.98,15.31,15.41,14.97,99845,218101280.0,2.88,0.33,0.05,0.36
2011-07-29,000063,15.31,15.01,15.42,14.98,88474,192520144.0,2.87,-1.96,-0.3,0.32
2011-08-01,000063,15.08,15.18,15.28,15.02,55556,121067440.0,1.73,1.13,0.17,0.2
2011-08-02,000063,15.08,15.13,15.17,14.78,126097,271248512.0,2.57,-0.33,-0.05,0.45
2011-08-03,000063,14.98,14.87,15.01,14.71,154437,331030752.0,1.98,-1.72,-0.26,0.55
2011-08-04,000063,14.92,14.73,14.98,14.7,116835,249615072.0,1.88,-0.94,-0.14,0.42
2011-08-05,000063,14.24,13.88,14.37,13.82,240826,493464256.0,3.73,-5.77,-0.85,0.86
2011-08-08,000063,13.7,13.38,13.71,12.76,261609,511346752.0,6.84,-3.6,-0.5,0.94
2011-08-09,000063,12.91,13.18,13.35,12.8,271737,525073312.0,4.11,-1.49,-0.2,0.97
2011-08-10,000063,13.65,13.0,13.73,12.98,281513,552643072.0,5.69,-1.37,-0.18,1.01
2011-08-11,000063,12.58,11.96,12.58,11.4,1088435,1934794624.0,9.08,-8.0,-1.04,3.9
2011-08-12,000063,11.98,12.07,12.18,11.68,357750,645810176.0,4.18,0.92,0.11,1.28
2011-08-15,000063,12.12,12.28,12.53,12.07,291096,534078016.0,3.81,1.74,0.21,1.04
2011-08-16,000063,12.37,12.21,12.56,12.08,263172,484579296.0,3.91,-0.57,-0.07,0.94
2011-08-17,000063,12.21,12.28,12.45,12.12,179588,330495808.0,2.7,0.57,0.07,0.64
2011-08-18,000063,12.39,12.02,12.4,12.02,124906,226564768.0,3.09,-2.12,-0.26,0.45
2011-08-19,000063,11.74,11.75,11.98,11.58,217774,386188160.0,3.33,-2.25,-0.27,0.78
2011-08-22,000063,11.91,11.72,12.08,11.66,151782,270594688.0,3.57,-0.26,-0.03,0.54
2011-08-23,000063,11.81,11.87,11.91,11.73,99562,177102432.0,1.54,1.28,0.15,0.36
2011-08-24,000063,11.92,12.08,12.27,11.91,194078,351775104.0,3.03,1.77,0.21,0.7
2011-08-25,000063,12.16,12.52,12.58,12.03,237797,440166944.0,4.55,3.64,0.44,0.85
2011-08-26,000063,12.49,12.77,12.88,12.28,202820,380198912.0,4.79,2.0,0.25,0.73
2011-08-29,000063,12.56,12.61,12.74,12.49,124171,232953952.0,1.96,-1.25,-0.16,0.44
2011-08-30,000063,12.73,12.35,12.91,12.33,139601,261957312.0,4.6,-2.06,-0.26,0.5
2011-08-31,000063,12.14,12.53,12.74,12.14,149882,279994048.0,4.86,1.46,0.18,0.54
2011-09-01,000063,12.58,13.07,13.19,12.58,265686,509603744.0,4.87,4.31,0.54,0.95
2011-09-02,000063,13.03,12.62,13.03,12.58,135447,255930752.0,3.44,-3.44,-0.45,0.49
